MSG_EEG_POWER_DELTA_1,MSG_EEG_POWER_DELTA_2,MSG_EEG_POWER_DELTA_3,MSG_EEG_POWER_DELTA_sd,MSG_EEG_POWER_DELTA_diff1,MSG_EEG_POWER_DELTA_diff2,MSG_EEG_POWER_HIGHALPHA_1,MSG_EEG_POWER_HIGHALPHA_2,MSG_EEG_POWER_HIGHALPHA_3,MSG_EEG_POWER_HIGHALPHA_sd,MSG_EEG_POWER_HIGHALPHA_diff1,MSG_EEG_POWER_HIGHALPHA_diff2,MSG_EEG_POWER_HIGHBETA_1,MSG_EEG_POWER_HIGHBETA_2,MSG_EEG_POWER_HIGHBETA_3,MSG_EEG_POWER_HIGHBETA_sd,MSG_EEG_POWER_HIGHBETA_diff1,MSG_EEG_POWER_HIGHBETA_diff2,MSG_EEG_POWER_LOWALPHA_1,MSG_EEG_POWER_LOWALPHA_2,MSG_EEG_POWER_LOWALPHA_3,MSG_EEG_POWER_LOWALPHA_sd,MSG_EEG_POWER_LOWALPHA_diff1,MSG_EEG_POWER_LOWALPHA_diff2,btn_color
2457996,16359,3509040,1463067.75485,-2441637,-16760576,20044,949,16303,8262.0916238,3492681,16759140,16759791,354,23851,7894941.89937,-19095,-7181,16750505,16777166,16768083,11066.9472555,15354,19508,1
16752474,684804,1334450,7425986.82719,-16067670,16757977,8025,16755748,17650,7892684.67903,649646,-16764846,23153,16749383,11993,7887452.19088,16747723,16731807,3839,82964,3374,37409.9659182,-16738098,-16734552,1
1299204,981456,199946,461891.019153,-317748,-16758791,7706,4954,6864,1151.35514359,-781510,5484,20928,3672,20423,8018.17769543,-2752,-16772231,18520,4662,2198,7184.26632765,1910,2596,1
63711,202144,279849,89391.3975217,138433,-2326,4605,4976,14856,4747.33892711,77705,1365,14349,3382,9050,4478.10369092,371,-8050,3234,1501,21315,8959.91347924,9880,12693,2
16748113,103720,671334,7715934.64495,-16644393,2604,4742,11298,18614,5666.05267262,567614,11963,3961,9040,16758113,7896786.13526,6556,5683,6252,23145,20451,7410.52319341,7316,16742564,2
1332649,380391,16773428,7513366.70733,-952258,-899,16755304,7946,2827,7895987.10893,16393037,-16205,16755940,16775695,15324,7896262.48,-16747358,-16741154,33165,92029,1783,37407.8734077,-5119,-10205,2
16747275,16761533,16752794,5870.075203,14258,-11037,5925,6058,16762199,7898951.967,-8739,9260,16744959,6646,16758044,7893602.39025,133,-24230,10039,1949,10491,3924.54056759,16756141,16748967,2
14395,260374,16747892,7830912.23094,245979,-29459,5427,10245,827,3845.22572665,16487518,-2438,28177,6663,1076,11683.4686916,4818,-6577,21764,9935,731,8608.94848399,-9418,-6755,2
196636,488101,535345,149780.442442,291465,7344,5548,8620,16759309,7897074.69789,47244,16736331,8887,30194,16768951,7895752.62177,3072,16741382,27131,81798,15488,28908.0081907,16750689,18750,1
1080896,27522,131518,473958.570479,-1053374,-3946,14223,2563,30905,11630.9629295,103996,20381,27986,4956,21884,9742.07648411,-11660,-14364,32404,3097,23278,12244.984851,28342,10199,1
142976,651926,417341,207989.416918,508950,16730193,17294,16749587,16760241,7890190.93411,-234585,-16730400,16744469,18048,31158,7881822.2366,16732293,16733795,13807,67028,5498,27258.9541293,10654,-16723365,1
24189,18151,88878,32012.9013819,-6038,16766595,5644,2498,1748,1687.82015893,70727,-16765024,4662,16769337,12902,7901002.1141,-3146,16735717,2577,16746057,8014,7891670.96474,-750,-16737066,1
78805,970877,703691,373818.631718,892072,10742,2627,72126,10856,31005.0898008,-267186,-10838,7422,67312,11004,27427.1432628,69499,16744143,4869,18625,16746964,7889058.94906,-61270,-16742639,1
26580,653203,386714,256768.219997,626623,19774,2337,22221,12245,8117.62483051,-266489,-9146,7186,9731,16748455,7891310.09652,19884,9622,1241,16760706,2501,7900190.59894,-9976,2807,2
669336,252620,16747676,7679507.66523,-416716,16162,21672,29329,13340,6529.42054601,16495056,-21857,30542,27996,16763725,7888698.27985,7657,-16732856,14186,8342,28843,8623.42408147,-15989,2325,2
723890,119161,79720,294808.364276,-604729,1356,2879,10555,1869,3878.54027524,-39441,-15832,16748953,16746872,1428,7894368.54637,7676,-16729450,7484,26440,2573,10290.6729399,-8686,-22315,2
93821,4304,86531,40589.7043842,-89517,7989,923,21707,2157,9520.15354685,82227,-4018,2767,16750836,12324,7892863.79895,20784,27377,1797,9293,1476,3611.68698656,-19550,-21891,2
60132,1633001,280607,695341.294939,1572869,6225,7023,16759234,10125,7896336.95178,-1352394,-5663,6189,16761867,20087,7895428.60678,16752211,16759837,750,31829,5384,13689.883621,-16749109,-16750253,1
345505,51410,312289,131509.621246,-294095,17306,39627,16768737,21551,7890442.08769,260879,-16689565,16750875,22810,24224,7885352.20322,16729110,8337,69707,16761532,31283,7877674.00694,-16747186,-1859,1
491756,40128,2074375,872213.761169,-451628,-21058,10423,3603,16757229,7896128.0375,2034247,11745,25125,12127,16753091,7888704.23872,-6820,-16736276,16752187,7525,94789,7873021.6466,16753626,16747952,1
595662,85263,387935,209567.80534,-510399,-5564,4230,3675,7256,1573.68152927,302672,-6844,29659,10831,13481,8321.61688349,-555,-16741710,13410,1941,11130,4957.30753535,3581,-6191,1
591517,41006,29906,262168.835855,-550511,-17304,16746489,2430,3182,7893047.86686,-11100,2538,16763419,14407,7283,7897239.65403,-16744059,-8307,21443,4762,3943,8063.47403763,752,8025,1
