delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
344295,33288,17257,149683,36216,387114,10725,29286,know
167975,2858,8163,20616,20891,2720,11433,382,know
493495,11917,6646,93649,30102,21198,15598,6724,know
832818,251,2058,70192,28110,3932,5251,16675,know
241171,2786,4032,31970,23820,6479,10254,3428,know
116810,4067,2682,17641,23232,2994,7853,4049,know
299432,2974,10642,74599,7308,7458,10900,8616,know
66327,5219,9279,13646,13731,16558,5898,10358,know
193984,7329,7449,135149,33513,32521,10585,5573,know
427421,918,648,18150,4244,13313,2159,3260,don't know
57710,4392,3246,24833,7169,4156,7941,6851,know
589508,5474,5987,122980,3655,8634,5645,4243,don't know
115673,3690,10449,22113,13406,6378,9712,11675,don't know
205109,2495,2285,25521,5117,5481,1818,2901,don't know
438729,6386,12630,284345,13025,24727,13118,32106,know
74492,2551,2347,289,4368,4469,1070,6496,don't know
482213,498,5109,22659,3368,2727,2938,2124,know
536792,12100,3730,39641,7633,7119,10257,12996,know
317412,3977,8597,79550,10407,9243,7505,11342,know
148356,1589,4056,31454,10794,3159,4906,14714,don't know
231564,2800,4953,10683,7019,7534,5975,4979,know
137351,2274,17299,71874,3116,2677,5685,4795,don't know
343837,423,1113,21946,3474,5528,4047,2083,know
111290,999,372,65685,3328,2774,1081,1420,don't know
122966,866,865,18711,1008,12472,1449,744,know
270356,1249,2200,29842,1167,13308,3619,1597,don't know
208879,3361,3283,59229,3187,4452,10810,5222,don't know
318864,5926,1745,32316,19693,7422,1449,2289,know
80077,210,1771,21426,711,980,1101,1051,know
110648,3027,1922,99054,15095,10533,5598,6760,don't know
