delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,midgamma,state,answer
237234-27977-345555-1345397-1331418-119107-3886,31136-69856-312736-148089-109093-15143-1565,4565-2643-47923-55877-48112-7667-2200,4924-13997-14397-25971-49188-7145-1056,3237-14440-37467-13453-33993-3920-516,5368-5465-20336-17053-25719-2857-1193,910-2363-6544-11517-15903-1441-1581,1017-4030-13448-7971-4867-974-1015,hard,wrong
14994-10727-69334-1523819-108156-19991-86812,5902-26390-22231-194434-29128-9004-30617,4378-14037-2501-3984-532-764-1843,3900-11570-4531-5344-1043-3582-6262,5521-7075-3236-15384-2889-764-6653,8992-5053-515-16337-426-1238-4907,3093-4313-394-9127-526-1264-1797,4553-7717-414-2700-253-756-1350,hard,correct
21366-3131-96665-182462-45590-4221-36435,6435-1453-22351-59260-10341-9016-40467,1666-953-5670-19853-10055-668-25313,3156-373-6503-1899-10256-174-9866,2837-1150-3310-6185-16823-3957-8529,2343-1708-2275-986-5425-3414-5128,1299-1622-1530-567-2402-3510-2073,1133-1096-692-1906-2233-1985-2694,easy,correct
430598-93313-603126-133764-1119505-82808-635456,32663-6072-26479-95892-142961-38536-91678,1114-8270-28094-33277-67480-7727-19758,12246-5254-11248-14365-17665-22855-25491,2629-2072-5117-14988-8905-4114-15645,5690-3200-1811-1804-11777-3437-8800,2725-3829-1472-677-16024-1510-5669,2271-1399-1751-2177-6498-918-4892,easy,correct
494794-423861-43424-349007-80289-101191-571271,153967-49425-14545-61508-13626-52453-94794,1823-22611-10834-8527-6069-1657-1979,7158-27079-575-8677-13019-21129-11576,19004-10588-1639-5809-3527-20054-22381,8886-5622-3392-9713-1626-7163-12362,5000-3147-918-3196-972-3828-2646,2903-3644-751-5312-1060-2124-4864,easy,correct
405380-692191-591826-723912-240472-279217-237079,255136-135556-417333-1212456-31587-12838-30574,77100-31404-88767-53586-20164-12017-29370,21760-19406-30434-17949-7526-12615-4523,21779-20778-41510-48781-11755-8840-9990,22127-4690-49510-46020-7335-4046-6861,16148-2977-11469-11836-1291-2881-1278,16517-1664-5846-17320-853-1462-763,easy,correct
273608-636870-550033-415554-161488-204876-40761,82896-184410-94346-68914-43985-18040-20058,34390-79296-9234-13875-48996-4742-13672,35894-6560-11138-8356-11040-1846-3122,14031-46600-6526-14610-18829-1725-1716,23781-32642-7890-2037-9958-2338-3139,6916-7938-1044-1563-2623-1497-1362,4400-7491-767-633-3054-992-1366,easy,wrong
1342371-1056805-252088-247038-565759-407560-1222755,18418-163765-176359-153467-428649-135251-575901,11505-51732-20266-47304-23433-15250-54001,13264-17686-6683-23553-78233-18279-77671,10749-19147-13697-16043-24156-20125-30543,7445-34115-4977-5533-13585-7316-74095,3047-9382-4021-2210-9275-4892-9601,782-6203-3400-833-2462-2718-6349,easy,wrong
787470-887223-435954-1060976-30743-426664-84621,41479-45678-18856-573511-3917-95475-21935,53458-13263-7379-66717-1228-3138-12295,19528-11352-4723-26220-3776-6334-3512,8890-5096-6087-34161-540-12202-1973,2201-3281-2997-17854-1307-4162-2269,821-1751-460-8256-275-5713-2308,565-812-419-4974-379-1307-1993,easy,correct
65520-467964-1213097-610984-905731-436717-2457838,25513-159117-122119-29740-324512-97242-120930,1057-31157-47329-6375-22217-22350-25523,3077-11421-15413-37526-2524-3407-10553,1209-13009-11478-8776-16081-5158-25327,1803-13566-16752-2610-15898-3675-8650,2712-20267-4336-2142-6806-1226-6785,795-2212-10666-926-2868-1595-5663,hard,wrong
