delta_0,theta_0,lowalpha_0,highalpha_0,lowbeta_0,highbeta_0,lowgamma_0,midgamma_0,delta_1,theta_1,lowalpha_1,highalpha_1,lowbeta_1,highbeta_1,lowgamma_1,midgamma_1,delta_2,theta_2,lowalpha_2,highalpha_2,lowbeta_2,highbeta_2,lowgamma_2,midgamma_2,delta_3,theta_3,lowalpha_3,highalpha_3,lowbeta_3,highbeta_3,lowgamma_3,midgamma_3,delta_4,theta_4,lowalpha_4,highalpha_4,lowbeta_4,highbeta_4,lowgamma_4,midgamma_4,delta_5,theta_5,lowalpha_5,highalpha_5,lowbeta_5,highbeta_5,lowgamma_5,midgamma_5,delta_6,theta_6,lowalpha_6,highalpha_6,lowbeta_6,highbeta_6,lowgamma_6,midgamma_6,delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,state
220021,28101,4579,4788,3707,2963,5914,2605,90394,21732,15001,2276,8777,3768,3188,3011,863613,98135,27269,19903,9215,11534,2769,3317,237650,36420,17351,6315,8154,3550,1650,2862,207711,13890,1809,1086,4711,4871,1243,1023,524095,11604,23347,41704,43652,17473,14707,4579,18193,26435,14361,3569,4562,2539,2615,710,308811,33759,14816,11377,11825,6671,4583,2586,hard
367837,27826,7695,4580,2036,2339,987,587,648805,43334,36420,6162,8819,2689,6100,3058,21174,10807,13246,7589,7481,2867,1838,993,247355,31836,894,14263,4275,3227,1186,4682,1080924,82687,55831,147024,26870,6788,11529,4515,1119742,91449,103476,49137,17701,7795,5561,6095,525297,58369,30397,1560,6246,3755,2552,1152,573019,49472,35422,32902,10489,4208,4250,3011,hard
101678,87400,19438,4769,1883,4242,3763,2874,259092,55734,16714,18237,2187,4052,1865,2319,585786,46662,3328,21437,2631,2945,634,1772,439690,119433,9133,52478,15761,13632,8447,5542,190494,16074,2926,13650,8237,2690,1275,1629,164916,32204,44811,62968,19458,11652,4683,7595,74228,11194,4088,27365,1666,3381,4603,1968,259412,52671,14348,28700,7403,6084,3610,3385,easy
209968,86429,11980,8316,12289,11620,2535,1191,338557,163248,13805,2529,4835,3837,1310,1044,1476772,74788,26856,62557,11632,3830,12599,10588,29548,35994,90300,57217,17748,7682,4632,6435,896427,33346,19181,20130,2358,2659,2266,1863,141734,108678,15129,33288,21559,5692,9608,4517,1248658,243925,208029,40132,43630,12655,8153,4331,620237,106629,55040,32024,16293,6853,5871,4281,hard
247583,119484,18850,870,2122,10280,3923,1732,6245,3867,734,1991,1847,3536,2972,3654,568950,224294,5139,7691,15921,12033,5298,10059,109803,28041,22290,43053,8525,19656,7686,5279,190569,71923,4452,26875,1684,3634,1684,2472,5267,5441,3693,30220,3990,1087,1043,1697,174136,49159,2546,29070,3932,3383,2116,2235,186079,71744,8243,19967,5431,7658,3531,3875,easy
180061,9258,17102,26296,7728,84920,24679,22727,1544849,57192,16485,6526,4326,5825,4807,3424,120087,19835,3362,12642,1709,4549,1087,6009,437040,145034,18113,114450,16335,15046,7153,11124,117880,35196,4320,15617,1893,3183,1583,952,102369,89311,11083,19668,4854,4950,1279,1915,958631,168449,40387,48004,62065,28150,22186,8181,494416,74896,15836,34743,14130,20946,8967,7761,easy
762499,56522,53380,24631,24056,7141,6322,11244,309897,8923,6444,729,6586,5561,3251,2328,310557,69503,84542,35053,28007,14056,14138,21920,321858,26184,203,19331,1672,3944,2789,3881,762115,240859,19001,60740,24303,11378,8434,13357,84032,30541,15140,22559,2560,4386,1969,1996,183573,2145,4415,5715,2281,593,644,407,390647,62096,26160,24108,12780,6722,5363,7876,hard
16680,23381,16277,8636,16105,13260,6962,7963,568174,260842,30955,27108,23781,27170,8633,15419,882439,149312,11964,42159,12327,14766,4996,13887,253332,74279,39059,9294,3545,2815,2336,2855,255498,67652,20841,22869,8155,1607,1555,1606,27567,18681,53845,127122,10530,17899,4130,5002,54525,19173,7922,17203,5145,1464,2263,1359,294030,87617,25837,36341,11369,11283,4410,6870,hard
200092,33370,11719,4738,3384,26719,19356,31422,50052,48389,4375,1307,2497,7602,2069,3918,2426825,72578,53444,19697,14979,16548,13519,12435,47589,6772,1071,2579,770,1210,451,560,57482,13845,2922,6070,1469,719,505,347,120965,28358,63637,47000,34990,7007,5217,6406,417669,86913,5935,25416,7684,9823,9047,2165,474382,41460,20443,15258,9396,9946,7166,8179,easy
660695,65855,35431,17337,7257,7506,2921,1444,525311,43559,6533,11312,7133,25653,19932,17106,447570,12044,10880,4593,3276,3536,3939,5087,202313,34177,14371,14976,4336,5087,2278,4489,1296797,182268,53921,54875,4328,11297,4977,10871,69027,46276,66576,111011,11129,10280,16069,8255,39446,4039,1315,4658,511,708,549,588,463022,55459,27003,31251,5424,9152,7237,6834,hard
1289327,64953,3711,2587,5997,28826,11363,6236,330319,98872,31799,26517,116665,52610,21986,17619,1529671,673135,56230,17202,50487,39076,19342,14572,202342,112585,5889,10324,9539,4358,4394,4175,511909,20480,9198,11037,14565,4241,2147,5106,83570,15257,4131,33250,1901,4099,1254,3044,250659,47443,58236,125983,15779,32130,6355,10518,599685,147532,24170,32414,30704,23620,9548,8752,easy
1170500,224770,91896,93587,24269,63787,18556,17922,141878,38710,5239,6579,19525,28278,11963,16105,669589,85524,18012,9127,7188,3167,2207,981,277994,9894,8564,9757,6054,2342,2387,2223,631288,113990,56132,61658,27138,17078,7380,7458,473252,86340,43723,69858,10729,46014,16908,14804,56356,20248,16064,115739,12874,16176,6794,7609,488693,82782,34232,52329,15396,25263,9456,9586,easy
