delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,state
1194940,261652,39874,64206,45644,25959,28908,5430,hard
244840,55967,26036,11777,7194,5278,4058,1716,easy
369032,106019,71889,10601,15358,10087,3867,3766,easy
231874,141243,51986,17002,11354,6385,1898,1948,easy
189354,95278,16958,14336,12081,9515,4053,5027,easy
739121,71383,21929,7393,5286,9129,2544,1581,hard
348734,86877,10658,10852,6094,5124,1591,1694,hard
464769,94051,62085,13198,9989,7256,4266,1694,easy
51610,36358,8734,2249,2264,3469,847,746,easy
218347,48402,20298,10382,9766,4363,2202,2169,easy
663403,108794,23775,20619,10581,7505,2946,2442,easy
147610,59932,17118,6900,5514,6638,1797,1479,easy
419555,138775,36360,12340,7726,18573,3462,2994,hard
480700,148708,31393,32278,14371,6098,3615,1502,easy
137053,33471,6118,8704,5344,2998,1518,1478,hard
293171,60459,14516,10351,6521,4762,5051,2349,easy
279379,45430,13342,6773,6771,4435,1453,1309,hard
565491,61644,13546,12070,10888,5956,3487,2002,easy
405297,107143,28473,13968,12997,10777,3628,3402,hard
82372,34364,10293,6197,7202,4807,3171,1629,easy
314493,46393,21684,9737,3694,2996,1130,651,easy
611323,125584,17069,22616,20050,17062,4720,4473,hard
169416,17276,6901,6975,5462,4307,1573,1897,hard
861746,176103,39822,19603,11387,8600,7533,3888,hard
272889,91609,15848,13662,7214,6188,4332,2074,easy
1260790,87661,38763,10695,11552,7214,4083,2095,easy
131289,39459,14145,10291,8100,8007,3865,2416,hard
458043,41141,7447,10585,9653,9512,8450,4914,easy
338984,181518,9891,8856,6704,7022,4738,2135,easy
208993,59374,10223,7043,5592,4451,1689,1863,easy
