delta_1,theta_1,lowalpha_1,highalpha_1,lowbeta_1,highbeta_1,lowgamma_1,midgamma_1,delta_2,theta_2,lowalpha_2,highalpha_2,lowbeta_2,highbeta_2,lowgamma_2,midgamma_2,delta_3,theta_3,lowalpha_3,highalpha_3,lowbeta_3,highbeta_3,lowgamma_3,midgamma_3,delta_4,theta_4,lowalpha_4,highalpha_4,lowbeta_4,highbeta_4,lowgamma_4,midgamma_4,delta_5,theta_5,lowalpha_5,highalpha_5,lowbeta_5,highbeta_5,lowgamma_5,midgamma_5,delta_6,theta_6,lowalpha_6,highalpha_6,lowbeta_6,highbeta_6,lowgamma_6,midgamma_6,delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,state
60059,35165,6042,15473,10624,13839,9288,15274,118625,17141,12774,3779,3560,3612,728,834,187878,16896,10601,501,1845,2038,2510,535,2279578,1243051,224520,131509,99844,56619,144485,45798,367831,109788,71071,17104,37440,31992,28914,22708,1094328,88640,3214,6550,12763,13775,21322,6616,684716,251780,54703,29152,27679,20312,34541,15294,hard
646459,30538,11191,9950,5713,2732,1650,1208,43178,36195,68377,14837,11689,23282,13462,14751,886961,135640,2749,24694,7673,12721,3182,6618,419581,136042,6980,13386,5372,6039,3941,2898,7485,5540,815,12059,7924,6556,17079,10384,833047,127809,71110,76101,33353,31829,28770,22739,472785,78627,26870,25171,11954,13859,11347,9766,easy
34945,39843,39890,40133,21793,18009,14223,9871,493217,55020,25492,9593,50492,14347,19524,22652,36210,20414,4174,12271,10111,14091,10431,10251,49940,22031,485,2301,3292,1156,1234,2477,459557,52183,23619,4674,3056,3894,4624,1290,2642,2283,272,6190,4081,2659,3804,1483,179418,31962,15655,12527,15470,9026,8973,8004,easy
109014,47348,5821,50341,12648,19312,5671,7939,16310,13545,12239,2439,19036,13296,11052,6202,73950,3989,6586,1092,1893,1333,282,540,273333,76688,15570,4857,6093,2580,1092,2331,22463,21781,12505,14317,20716,6855,11166,15734,225690,37050,17896,3399,20645,17076,17282,5377,120126,33400,11769,12740,13505,10075,7757,6353,easy
3693,6621,8222,22317,12416,16107,8515,6235,308515,45265,8626,16614,9037,5088,1878,3922,80662,42558,17192,15409,13939,15746,17822,8959,53434,40154,4630,4849,4726,5155,2210,1246,146490,60692,11489,31073,16983,9841,10171,8795,53184,63819,18334,5849,7708,5445,4919,4591,107663,43184,11415,16018,10801,9563,7585,5624,hard
149898,15084,3393,7158,4381,4017,1220,3121,429814,49572,3768,3021,10889,7589,4062,3340,30044,30723,1305,5370,1651,1391,1238,353,553559,85701,46586,26059,11300,15315,25725,10877,96439,88968,31580,18020,5730,4030,3141,3135,143916,66907,1510,18549,7774,7420,2700,3836,233945,56159,14690,13029,6954,6627,6347,4110,easy
6041,9886,14656,2556,17962,18346,12946,11375,505953,226778,68909,13706,27148,7155,5378,1879,8921,6132,5750,2183,4454,1785,3534,2197,5018,12681,3367,5629,8248,11872,9674,6797,123770,41556,2588,5474,4295,2051,955,4862,170917,85846,7968,7676,12956,5333,3533,2112,136770,63813,17206,6204,12510,7757,6003,4870,easy
27818,15754,8933,16084,11388,18337,6161,11456,944739,86056,13297,17922,17332,6765,1684,5520,112965,12315,4306,10649,12010,6935,7722,9002,15687,36993,9630,38351,25655,10330,17479,13590,409349,67777,11246,16219,8265,15012,3465,5847,412908,193172,14540,13460,5976,24496,24562,18539,320577,68677,10325,18780,13437,13645,10178,10659,easy
997189,113141,5193,28070,26676,30930,28544,13551,496273,168347,38262,9026,9949,16383,3980,1928,389632,43006,40270,11100,55174,18064,32973,9925,32616,12842,5833,2988,1312,2230,5808,3415,34358,68956,13521,3017,5428,3342,2732,2600,168009,50185,17248,18394,22310,5133,3592,2098,353012,76079,20054,12099,20141,12680,12938,5586,easy
94684,66910,15500,31203,27495,35962,16761,9889,293101,54762,14666,14410,4011,15869,2366,2126,75348,8131,2739,2736,2578,791,1522,563,181126,35406,17513,6350,5399,17434,9591,8312,48228,114673,15402,7899,4077,3213,1668,3281,164807,71822,14298,13587,7582,1998,1817,5164,142882,58617,13353,12697,8523,12544,5620,4889,easy
683262,219922,10007,25499,36673,8538,5959,8384,1091481,207835,25646,10135,24101,14740,6808,5489,393857,61058,9749,13547,12631,19201,3124,6085,375951,86084,8426,7089,5732,2793,1168,1204,44887,5859,725,985,1967,1853,2037,1363,441525,164027,23781,23741,24379,37591,3868,3943,505160,124130,13055,13499,17580,14119,3827,4411,easy
683097,386494,19346,32500,22699,4354,8769,6225,78061,76475,6082,6519,6696,9933,3197,1474,1701801,298097,26488,27991,30930,17267,8406,11599,11373,12376,9052,22361,2618,11025,3979,4176,242499,205807,20817,24181,39482,14694,6217,4012,339021,23882,4969,2683,6681,2533,3244,2573,509308,167188,14459,19372,18184,9967,5635,5009,easy
4013,7137,27018,1082,10025,8060,7992,5336,166351,35952,5461,5691,2620,3324,1623,887,23925,3447,1460,3566,4118,3187,1418,1506,6798,5369,640,8063,9823,10730,3565,7870,70524,13013,1624,2925,3544,4264,1257,1201,234745,57345,2983,6124,7124,1798,1125,1780,84392,20377,6531,4575,6209,5227,2830,3096,easy
87058,55288,60155,11475,45841,10244,4226,6998,188986,20808,7498,3738,1854,703,759,776,3241,3191,514,1430,4918,2707,820,3111,36067,60527,31541,18397,15425,11899,3309,4269,352958,45470,30993,14203,17431,17921,7235,5012,85925,31791,9298,5138,5220,1956,3041,1676,125705,36179,23333,9063,15114,7571,3231,3640,hard
978313,52349,24560,1947,8937,8010,6090,5657,1624654,123224,46156,62778,27625,27136,9712,25339,131768,16612,2899,1719,3424,5257,3066,2250,1666679,142183,24929,10258,20106,37062,21723,11933,173605,59182,20165,5984,6854,2945,1192,1145,1202777,139343,144057,11826,68544,44998,30502,18842,962966,88815,43794,15752,22581,20901,12047,10861,easy
40344,9005,1648,2948,2034,2536,1846,657,186446,62839,11325,18044,3887,2693,2291,1649,462372,13584,10330,8006,17725,14080,7130,7672,23753,25902,1274,2088,11833,7513,4347,2343,81132,34081,6908,7087,5977,4976,2070,1584,466296,13931,3508,703,2623,1584,730,280,210057,26557,5832,6479,7346,5563,3069,2364,easy
