delta_2,theta_2,lowalpha_2,highalpha_2,lowbeta_2,highbeta_2,lowgamma_2,midgamma_2,delta_3,theta_3,lowalpha_3,highalpha_3,lowbeta_3,highbeta_3,lowgamma_3,midgamma_3,delta_4,theta_4,lowalpha_4,highalpha_4,lowbeta_4,highbeta_4,lowgamma_4,midgamma_4,delta_5,theta_5,lowalpha_5,highalpha_5,lowbeta_5,highbeta_5,lowgamma_5,midgamma_5,delta_6,theta_6,lowalpha_6,highalpha_6,lowbeta_6,highbeta_6,lowgamma_6,midgamma_6,delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,state
345555,312736,47923,14397,37467,20336,6544,13448,1345397,148089,55877,25971,13453,17053,11517,7971,1331418,109093,48112,49188,33993,25719,15903,4867,119107,15143,7667,7145,3920,2857,1441,974,3886,1565,2200,1056,516,1193,1581,1015,629072,117325,32355,19551,17869,13431,7397,5655,hard
69334,22231,2501,4531,3236,515,394,414,1523819,194434,3984,5344,15384,16337,9127,2700,108156,29128,532,1043,2889,426,526,253,19991,9004,764,3582,764,1238,1264,756,86812,30617,1843,6262,6653,4907,1797,1350,361622,57082,1924,4152,5785,4684,2621,1094,hard
96665,22351,5670,6503,3310,2275,1530,692,182462,59260,19853,1899,6185,986,567,1906,45590,10341,10055,10256,16823,5425,2402,2233,4221,9016,668,174,3957,3414,3510,1985,36435,40467,25313,9866,8529,5128,2073,2694,73074,28287,12311,5739,7760,3445,2016,1902,easy
603126,26479,28094,11248,5117,1811,1472,1751,133764,95892,33277,14365,14988,1804,677,2177,1119505,142961,67480,17665,8905,11777,16024,6498,82808,38536,7727,22855,4114,3437,1510,918,635456,91678,19758,25491,15645,8800,5669,4892,514931,79109,31267,18324,9753,5525,5070,3247,easy
43424,14545,10834,575,1639,3392,918,751,349007,61508,8527,8677,5809,9713,3196,5312,80289,13626,6069,13019,3527,1626,972,1060,101191,52453,1657,21129,20054,7163,3828,2124,571271,94794,1979,11576,22381,12362,2646,4864,229036,47385,5813,10995,10682,6851,2312,2822,easy
591826,417333,88767,30434,41510,49510,11469,5846,723912,1212456,53586,17949,48781,46020,11836,17320,240472,31587,20164,7526,11755,7335,1291,853,279217,12838,12017,12615,8840,4046,2881,1462,237079,30574,29370,4523,9990,6861,1278,763,414501,340957,40780,14609,24175,22754,5751,5248,easy
550033,94346,9234,11138,6526,7890,1044,767,415554,68914,13875,8356,14610,2037,1563,633,161488,43985,48996,11040,18829,9958,2623,3054,204876,18040,4742,1846,1725,2338,1497,992,40761,20058,13672,3122,1716,3139,1362,1366,274542,49068,18103,7100,8681,5072,1617,1362,easy
252088,176359,20266,6683,13697,4977,4021,3400,247038,153467,47304,23553,16043,5533,2210,833,565759,428649,23433,78233,24156,13585,9275,2462,407560,135251,15250,18279,20125,7316,4892,2718,1222755,575901,54001,77671,30543,74095,9601,6349,539040,293925,32050,40883,20912,21101,5999,3152,easy
435954,18856,7379,4723,6087,2997,460,419,1060976,573511,66717,26220,34161,17854,8256,4974,30743,3917,1228,3776,540,1307,275,379,426664,95475,3138,6334,12202,4162,5713,1307,84621,21935,12295,3512,1973,2269,2308,1993,407791,142738,18151,8913,10992,5717,3402,1814,easy
1213097,122119,47329,15413,11478,16752,4336,10666,610984,29740,6375,37526,8776,2610,2142,926,905731,324512,22217,2524,16081,15898,6806,2868,436717,97242,22350,3407,5158,3675,1226,1595,2457838,120930,25523,10553,25327,8650,6785,5663,1124873,138908,24758,13884,13364,9517,4259,4343,hard
292964,29542,3986,2257,3990,1261,416,502,51141,11974,3237,8682,5776,2898,1435,1602,107508,31514,6762,25913,12602,4815,1999,1667,90865,99708,17670,26706,14918,3697,1392,469,446055,130394,40762,30789,14465,7704,5930,2999,197706,60626,14483,18869,10350,4075,2234,1447,hard
341923,83848,10460,14431,4729,4065,2311,1682,159620,20224,9711,11398,5814,1494,1749,819,93936,41934,8712,32799,18595,20953,4771,2700,59664,6716,5823,5968,3011,2528,929,1036,227130,57213,24607,8692,10505,5188,3395,2025,176454,41987,11862,14657,8530,6845,2631,1652,easy
292231,34903,33657,1928,5213,2860,2862,1284,1270029,288326,123377,49294,15620,14150,3815,5184,832552,105989,21914,43638,26965,40017,18853,4567,123022,37221,3707,8678,2499,5622,988,603,805710,33589,20874,27717,13803,14817,5843,5920,664708,100005,40705,26251,12820,15493,6472,3511,easy
3128074,605095,233811,22093,19488,18036,22673,7233,2403293,294523,48990,54311,23438,15168,14173,7234,276522,8581,899,1314,378,1520,918,455,44871,112144,11078,25632,15804,7670,10517,4420,287613,30791,58257,21594,16114,14638,4834,9245,1228074,210226,70607,24988,15044,11406,10623,5717,easy
1441605,238222,12879,10706,5498,6244,1861,704,1351248,321161,115801,52908,39245,15492,13096,6093,1361002,98148,50916,53077,42161,11194,5906,2330,218309,32625,29520,52219,19465,15150,6459,8298,161814,32164,17384,21159,28237,6428,2692,1131,906795,144464,45300,38013,26921,10901,6002,3711,easy
1956635,184705,79086,76311,43219,18622,6128,5042,1122498,201192,106171,40740,35853,13348,3416,5561,600637,240240,23526,4232,14473,9172,6058,4297,214433,30845,13725,18294,4926,4967,760,444,281048,46702,37199,16243,8602,16812,5826,3093,835050,140736,51941,31164,21414,12584,4437,3687,easy
348249,28085,18690,7110,17226,3366,3691,697,344057,31040,17718,11124,11195,5332,2700,1623,40009,9581,22695,15975,14755,5970,1993,1722,675797,116942,136125,22905,77080,9959,6808,3390,1117951,191754,45888,54798,31040,19736,14994,5063,505212,75480,48223,22382,30259,8872,6037,2499,easy
313351,96390,33116,6304,6551,4365,1223,1870,1534747,81807,29219,15277,8144,6788,2922,1467,322239,126525,54580,22689,8095,8959,5446,3291,1070950,99437,39633,64284,19827,16617,5168,1261,843637,119520,47761,28668,25597,17102,8686,4073,816984,104735,40861,27444,13642,10766,4689,2392,easy
618559,13255,2245,1454,1129,1487,744,189,294679,62670,18824,15277,5295,5046,2892,1464,546698,41048,6483,5444,2654,729,457,426,711078,143091,7024,29758,46118,17638,2771,5954,950570,376597,30109,57449,22632,17568,7501,5138,624316,127332,12937,21876,15565,8493,2873,2634,hard
929350,150342,9358,21544,25410,7347,5517,2884,677756,35964,7260,14857,11102,10718,7033,2678,252606,50784,22378,7786,13261,4587,3120,2658,11192,29510,2379,3038,5622,4822,1974,1378,2446889,87658,11662,18020,21926,32696,5752,3533,863558,70851,10607,13049,15464,12034,4679,2626,easy
46216,5964,1240,426,479,361,130,38,80766,23374,13731,14839,7516,8980,2192,4509,15479,31095,1960,1437,2157,2988,807,1266,39047,44966,10924,7733,25489,7313,3829,3565,61928,16246,2115,6262,9269,2421,915,1330,48687,24329,5994,6139,8982,4412,1574,2141,easy
1001315,61272,23251,3037,14798,10314,3858,6638,144047,215661,59889,36371,14966,35782,13110,5795,114860,64796,28768,8479,13864,7672,7736,9499,196746,56759,17393,4864,3774,5876,1883,944,16761,15517,4358,8368,1548,1567,693,516,294745,82801,26731,12223,9790,12242,5456,4678,easy
724531,84905,47119,174911,73050,14869,5363,10081,220972,57764,28316,12161,19220,17948,16287,3122,85324,51500,12880,15729,9236,15946,7326,9528,7008,16964,5045,4694,6231,3786,1166,3061,1811602,191746,39100,6135,9466,6951,13309,5580,569887,80575,26492,42726,23440,11900,8690,6274,easy
675319,64032,16405,15203,9673,4800,3375,2273,828552,433812,58921,9103,15106,25820,7643,7215,50003,97575,9268,11621,10987,2695,1609,2713,130798,217107,93361,19343,13325,9661,6722,4051,2147151,160011,108249,19533,39086,10745,3238,11387,766364,194507,57240,14960,17635,10744,4517,5527,hard
1014290,103234,5549,7113,11449,3557,1745,1722,782115,282524,62989,21496,23574,12070,8907,5836,67888,71944,3915,9116,4139,2995,3532,2538,32043,36590,5906,9994,2339,3370,1141,1152,131917,51573,6694,4833,16571,8031,2488,1174,405650,109173,17010,10510,11614,6004,3562,2484,easy
276813,72445,17448,6591,14867,3927,1802,2340,57437,27281,4211,1878,1443,1021,490,842,35423,78431,26058,20245,18732,8821,5614,3885,67156,61283,30263,15134,11924,12661,11150,5856,79399,44283,3057,30389,28748,19980,7856,6027,103245,56744,16207,14847,15142,9282,5382,3790,easy
169411,14919,11866,6706,4782,3404,2487,1175,217748,55130,28584,30441,8288,15768,10781,3803,140696,43918,7711,12021,16316,6193,1350,865,171718,36742,4532,4025,4983,3733,2496,1541,451244,178974,15228,23212,11198,5574,7600,2951,230163,65936,13584,15281,9113,6934,4942,2067,hard
89884,18003,1423,1188,1086,1145,1030,463,118729,10258,10255,865,625,2213,342,385,26793,21574,6900,7847,6865,3059,2340,1313,153196,43356,5994,25102,32901,10567,8573,10415,41502,50599,35080,59460,29032,10510,6244,8471,86020,28758,11930,18892,14101,5498,3705,4209,easy
207545,5891,2581,2998,1289,1963,430,183,1537837,185295,66353,12993,8235,17011,14056,8148,251209,38393,1828,11935,8453,6126,1526,1493,54774,22263,76127,27986,31521,13177,7880,8318,244438,18114,1329,4222,11719,4032,2015,2276,459160,53991,29643,12026,12243,8461,5181,4083,easy
