delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,state
384692,36356,16955,14256,14901,8239,4711,2958,hard
623600,52022,41973,44835,13029,4673,5242,3868,hard
327995,54021,15382,33754,9654,6994,3380,3771,easy
576607,83210,33054,35144,11626,4740,6083,4889,hard
176166,66713,7261,21966,6393,7989,3736,4632,easy
464445,69313,10672,33780,5823,6710,3181,4684,easy
357691,75202,25066,27682,12625,7865,6116,8696,hard
397402,114153,31332,45710,11667,12851,4330,7753,hard
540582,33988,25089,15330,10941,6617,4352,4733,easy
508203,63664,30456,39353,6040,11170,9439,9161,hard
531562,184065,21449,19666,38631,20876,9824,8903,easy
438800,66891,26334,31395,14126,19375,8169,8314,easy
739473,188199,20408,77852,13997,13203,16942,9083,hard
209180,81375,17411,25018,8635,4959,3770,3337,easy
232641,84910,21927,23689,6888,7512,4762,2424,hard
123142,27044,8086,20356,2632,2076,1472,1367,easy
342451,43485,32650,50217,11333,6638,4372,3987,hard
282869,47678,21974,35788,6642,3076,1895,2449,easy
85880,68353,26065,9939,7715,7300,5324,4584,hard
388544,62841,30255,72053,11509,12297,7589,6858,hard
244660,36783,11203,16283,5938,6361,6652,2435,easy
283252,78696,51246,65381,18011,13146,7753,4296,hard
401736,60500,15816,68304,8400,7265,3587,3260,hard
917552,155610,54858,60416,20046,13933,6341,4343,hard
881700,153786,57736,55003,19728,9048,7977,5619,easy
244811,97473,49282,59780,11884,7594,6490,2539,hard
531486,67734,14829,43581,10374,8860,4166,4351,hard
159270,86714,42564,37181,9336,9949,5716,6604,easy
146451,28658,35450,35539,5481,9354,4714,2778,hard
162137,73513,25866,57787,5268,8193,6878,3997,easy
538571,218163,14520,36928,14452,14932,10694,6700,easy
379423,63677,14889,26244,9162,6194,3287,2585,easy
313451,93769,13966,31301,8874,5303,4239,1994,easy
1114981,62155,24375,46237,18534,7033,5529,4718,easy
923382,275345,46057,22456,9910,6338,5447,5444,hard
686206,82734,26165,15798,10029,5926,5039,4470,hard
945825,57272,35022,62885,18695,10217,6715,6701,easy
482700,68956,29532,33819,20723,7996,3849,4268,hard
494557,115090,60291,25500,15129,15380,6577,7303,hard
413683,124074,24599,25132,13343,12325,10635,7260,hard
461255,52295,14883,14023,13182,8909,5675,6036,easy
535096,49863,44077,40826,14394,9907,11861,8279,easy
343642,84582,15021,56490,10515,8732,5577,7286,easy
588744,35425,49676,49271,17417,12428,11598,11328,easy
624690,64128,18614,19241,5767,6033,7770,5716,hard
321683,52631,10753,12559,14381,6866,7773,8079,easy
454933,70215,35229,22761,4747,15635,6748,8473,easy
1082772,170937,42000,52858,26657,28141,7159,13585,hard
834336,66820,24517,40688,10212,9818,5360,5676,easy
112202,48001,20204,27229,18365,9082,10236,6555,hard
485588,64650,12763,27536,9979,8341,14273,7061,hard
876867,23184,9107,13490,9388,8595,3947,2373,hard
511883,63345,14644,22578,20835,8417,4123,4260,hard
500605,48988,19779,19853,17290,7362,4539,4258,hard
318459,28016,10019,10144,6838,3590,2644,1175,hard
473871,74503,14941,21146,10648,9953,3331,3645,hard
988704,283055,56580,19701,29003,13259,6900,7731,easy
538051,193566,34591,26479,16669,13775,8576,9176,hard
540191,124622,37426,48292,22047,12811,10165,10368,hard
291585,55414,24002,39891,15143,9166,3993,2589,easy
