a,sd,asd,as,d,as,d,sad,as,d,as,d,sa,d,ds,sad,ds,ad,d,dsa,xc,cx,c,c,c,c,c,c,c,c,c,cc,state
-773219,-76403,-12268,-17627,-438,-7766,419,-306,625963,61715,9918,13588,1061,7984,1119,455,29939,22530,15542,5229,3443,-1321,407,1839,-316384,2286,-21538,-40618,-38941,-12602,-13464,-3556,hard
627631,32527,23174,-1427,1338,-178,4262,2065,-226181,-21029,12352,-6674,3206,-360,652,-3689,-833569,-50851,-54937,-132761,-22595,-3561,-10343,167,-38818,-8762,-47645,97887,9169,-1007,5968,-1580,hard
-326694,9072,13386,-3200,-444,1107,1231,547,146096,-72771,-5805,-31041,-13130,-10687,-7813,-3770,249196,103359,6207,38828,7524,10942,7172,3913,25578,-16130,-41885,-49318,-11221,-8962,-3408,-5966,easy
-1138215,88460,-13051,-60028,-6797,7,-11289,-9544,1447224,38794,-63444,5340,-6116,-3852,7967,4153,-866879,2648,71119,37087,15390,5023,2366,4572,754693,-75332,4052,-13158,-19201,-3033,-7342,-2654,hard
-562705,-220427,-4405,-5700,-14074,-8497,-2326,-6405,459147,196253,-17151,-35362,7396,-7623,-2388,4780,-80766,-43882,17838,16178,6841,16022,6002,2807,185302,66482,759,-3345,-2306,2547,641,775,easy
1424762,37357,13123,-6116,2617,1276,3720,-2585,-316953,-125199,-14751,-101808,-14626,-10497,-6066,-5115,319160,109838,13793,98833,14442,11863,5570,10172,15511,-54115,-6763,-4051,-2961,-1767,304,-963,easy
-660,-60580,-78098,-34324,-21421,-8495,-10887,-19592,-11301,43319,84339,15722,26335,10112,11349,18039,-440257,-214675,-18798,-41409,-22631,-7434,-5645,-9476,678083,210318,3861,38181,21743,6992,6465,11361,hard
-314265,111530,18991,-15051,11454,12404,3637,1532,629107,75033,-27095,32865,8782,11951,2660,11032,-2166,6627,18218,-13575,-4610,1208,781,1249,227931,48971,-33004,-104253,-2375,-16292,-2575,-3396,hard
-2376773,-24189,-49069,-18390,-12482,-8946,-11450,-8517,2379236,65806,52373,17118,14209,15338,13068,11875,-9893,-7073,-1851,-3491,-699,491,-54,213,-63483,-14513,-60715,-40930,-33521,-6288,-4712,-6059,easy
77741,31515,-4347,6719,3857,22117,15993,12019,245257,-22133,-3491,-10383,-1060,-1551,1661,598,-1094484,-148091,-39550,-39899,8,-6210,-2699,-6382,1227770,135992,-12655,-56136,-6801,1017,-11092,2616,hard
-1199352,-574263,-24431,9315,66178,13534,2644,3047,1327329,560550,50341,6878,40948,34718,14948,10397,-309567,92105,-3309,-713,-5026,117,2247,-931,428339,5223,5067,-22213,12664,142,893,2062,easy
-527711,-46814,-12773,-2548,12337,25111,9756,15124,391595,75630,9448,-630,1134,825,-180,-1242,-353294,-104096,-47568,-51901,-21084,-14736,-4993,-5235,158036,27650,12409,-8200,16409,-28936,-9528,-7346,easy
291857,-124226,-33122,27584,2086,5009,3434,1076,-1842551,268871,14524,-57965,-25317,-994,2758,4886,1897321,-205666,9064,-60877,17754,37,-34659,-2966,253939,227375,5309,5198,1810,5382,29708,-162,hard
189092,-108871,-14970,-4765,-5501,1525,-2453,-4455,-365852,69758,15020,-78665,-10985,-6161,-4921,420,398819,34710,-4539,79489,16866,5206,7195,2180,-14824,9266,-29689,-3513,-3832,9,-1605,1267,easy
114328,386726,52596,63964,10574,24965,13771,2091,49266,1720,-21301,786,-2607,-2228,697,1,-819152,-7085,20859,-19647,1312,-3210,87,63,748424,7245,8826,23448,4097,5950,918,1536,hard
-223717,-33762,-9838,-31855,-2193,-1494,-1522,-1806,209210,20903,4563,27020,-360,-203,1080,1041,-60303,13378,-4972,-24980,2175,491,-911,625,56748,9347,5578,674,508,434,-272,-475,easy
-56075,13068,-45118,-93343,-27178,-7493,-8102,-9271,161340,22824,40502,90178,25029,10385,7546,8960,-1097,-13755,-11194,-14192,-1582,-81,152,-1043,-1011874,-71739,-18838,-57189,-11395,-6842,-5804,-2213,hard
-1059888,-106768,10028,-2565,-1457,3288,2131,3749,1070366,118100,3957,7298,2815,-799,-39,897,13183,724,4543,-116152,-3679,-1473,-753,-2011,-137400,-4333,-37465,100976,-1645,1103,1363,2118,easy
25212,59967,-5901,4066,13369,1556,13441,9310,-126020,11331,-8345,-5521,-722,-1288,747,-1062,79646,-6724,-3322,7826,-4207,339,150,1010,-143798,-196788,-71082,-6033,-3932,-12893,-4436,-8070,hard
-69587,17162,-2256,8061,2131,22057,14952,8510,-1622684,-34977,-10032,-57383,-6643,-1744,-3018,-4633,1640297,31249,-3105,-71389,1637,-5488,-2580,-2499,74386,-197248,-55024,-3351,-8162,-8410,2291,410,hard
-172487,-19550,1278,3656,3284,743,183,-681,100397,-7502,-10735,-41922,-9687,-13155,-20716,-3438,-637916,15009,-1997,26629,12334,12290,19792,3880,564884,-5861,8369,6263,-3000,-1141,1419,-692,easy
-179274,-94174,-48830,-110554,-43409,-17619,-10836,-8688,472174,77880,-33347,75992,25113,-6746,-4861,4432,36246,-27207,68928,-43315,3461,17302,11672,2425,-453286,-78821,-55235,-16809,6281,3254,293,-1393,hard
165488,113997,25068,50354,8463,3478,7073,4546,292199,-9157,-6302,-5486,-8901,1971,-628,707,-867951,-80818,4478,-219050,719,-7340,-4308,-5437,681727,97330,6339,215913,9499,9839,4837,5601,hard
2267823,553601,192533,32564,52227,31428,11354,11139,-1226289,-166871,-50394,-131583,-20828,-8263,-11825,-5673,852402,172714,49088,103354,21295,7670,11428,4154,469344,-10869,-22233,-71005,-16697,-21783,-5386,-375,hard
-1124873,-231112,-16470,-102502,-14769,1923,-8150,-7903,1014201,301703,23472,46853,19961,3369,10362,10522,-1930890,-165035,-160994,3801,-35539,-16473,-14066,-4802,1288939,156801,73944,10989,17740,14091,6589,-635,easy
461175,389287,117939,751,34920,12175,15264,4737,4291,-5360,-3588,14674,325,-704,389,353,5499,-11791,-40172,-161161,-2709,-14155,-7082,-2807,-645056,7247,-9907,165956,745,14439,8444,2835,hard
2266192,163442,30160,40302,35231,24978,10047,15098,47965,-9063,-5911,-4953,-2109,703,1089,-569,-48883,902,-8783,-57572,-3536,-3090,-2595,-307,52189,14101,19237,37527,2861,2834,1815,-1117,hard
-222049,-869,-20259,-5822,-10767,-15729,-10891,-12860,97732,17923,5782,-3718,1601,11837,8881,10955,-20670,-93853,-31044,-45232,-2730,-9156,-3175,-165,110822,-174131,-69516,-48998,988,1224,-2818,-13169,easy
-473441,39360,-5697,899,-2682,-246,-2577,-720,479447,15447,-15301,-29428,99,1850,3386,316,30306,-16242,-59859,16477,-3420,-27370,-8132,-5457,-69630,11492,48387,-82569,-2299,22909,4017,3932,hard
-59386,-91544,-32450,5332,-9110,1820,3444,-4139,-480670,-105691,-24352,-96298,9803,-9257,-1055,473,437906,202915,51211,102356,2107,15674,6245,4922,121921,-19412,-4927,-119301,431,-6149,-3333,-4286,easy
-374317,-217954,-25705,-23561,-12999,-5830,-16919,-7880,-405877,156912,24693,20925,7144,972,16156,6616,-53649,-535884,-16984,-108871,-16170,-27295,-19731,-13193,228716,418322,18015,78448,-7211,4846,7846,8725,easy
