MSG_EEG_POWER_DELTA_1,MSG_EEG_POWER_HIGHALPHA_1,MSG_EEG_POWER_HIGHBETA_1,MSG_EEG_POWER_LOWALPHA_1,MSG_EEG_POWER_LOWBETA_1,MSG_EEG_POWER_LOWGAMMA_1,MSG_EEG_POWER_MIDGAMMA_1,MSG_EEG_POWER_THETA_1,MSG_EEG_POWER_DELTA_2,MSG_EEG_POWER_HIGHALPHA_2,MSG_EEG_POWER_HIGHBETA_2,MSG_EEG_POWER_LOWALPHA_2,MSG_EEG_POWER_LOWBETA_2,MSG_EEG_POWER_LOWGAMMA_2,MSG_EEG_POWER_MIDGAMMA_2,MSG_EEG_POWER_THETA_2,MSG_EEG_POWER_DELTA_3,MSG_EEG_POWER_HIGHALPHA_3,MSG_EEG_POWER_HIGHBETA_3,MSG_EEG_POWER_LOWALPHA_3,MSG_EEG_POWER_LOWBETA_3,MSG_EEG_POWER_LOWGAMMA_3,MSG_EEG_POWER_MIDGAMMA_3,MSG_EEG_POWER_THETA_3,MSG_EEG_POWER_DELTA_sd,MSG_EEG_POWER_HIGHALPHA_sd,MSG_EEG_POWER_HIGHBETA_sd,MSG_EEG_POWER_LOWALPHA_sd,MSG_EEG_POWER_LOWBETA_sd,MSG_EEG_POWER_LOWGAMMA_sd,MSG_EEG_POWER_MIDGAMMA_sd,MSG_EEG_POWER_THETA_sd,MSG_EEG_POWER_DELTA_diff1,MSG_EEG_POWER_HIGHALPHA_diff1,MSG_EEG_POWER_HIGHBETA_diff1,MSG_EEG_POWER_LOWALPHA_diff1,MSG_EEG_POWER_LOWBETA_diff1,MSG_EEG_POWER_LOWGAMMA_diff1,MSG_EEG_POWER_MIDGAMMA_diff1,MSG_EEG_POWER_THETA_diff1,MSG_EEG_POWER_DELTA_diff2,MSG_EEG_POWER_HIGHALPHA_diff2,MSG_EEG_POWER_HIGHBETA_diff2,MSG_EEG_POWER_LOWALPHA_diff2,MSG_EEG_POWER_LOWBETA_diff2,MSG_EEG_POWER_LOWGAMMA_diff2,MSG_EEG_POWER_MIDGAMMA_diff2,MSG_EEG_POWER_THETA_diff2,btn_color
1031073,8099,987,2039,4173,642,586,24405,215344,12184,6724,26140,9443,4869,3963,29108,699349,13310,5677,16777033,6698,3381,3657,240146,334948.661679,2238.78990131,2494.56025962,7902133.47321,2152.0932962,1750.67586949,1524.93373262,100611.096546,-815729,484005,4085,1126,5737,-1047,24101,16750893,5270,-2745,4227,-1488,3377,-306,4703,211038,0
56144,1281,1479,1159,934,856,635,13378,82809,5729,800,6430,3606,632,169,11949,23493,1105,623,1773,772,300,308,15997,24256.7238834,2139.49776038,368.948355314,2353.43923274,1299.46074286,228.408989899,195.336177454,1676.22280407,26665,-59316,4448,-4624,-679,-177,5271,-4657,2672,-2834,-224,-332,-466,139,-1429,4048,0
248157,338,464,391,16777094,2113,238,6159,513260,86272,87092,99614,148636,211503,93362,550872,619228,11825,21397,19507,10399,59608,9325,51591,156063.557093,38091.9345998,36905.9373393,42982.8863024,7871515.35707,88331.4076205,41921.7131674,246769.761328,265103,105968,85934,-74447,86628,-65695,99223,-80107,-16628458,-138237,209390,-151895,93124,-84037,544713,-499281,0
1521828,78976,152765,225657,67716,115086,16760106,744492,148079,6153,4764,19454,8875,6715,2547,29794,1307682,279137,79841,84734,75431,358870,16776613,1300486,603482.849054,115416.097234,60423.2862636,86049.3705432,29723.7010594,147266.974619,7903482.68024,520104.767021,-1373749,1159603,-72823,272984,-148001,75077,-206203,65280,-58841,66556,-108371,352155,-16757559,16774066,-714698,1270692,0
96217,2415,4744,8625,2277,1873,250,3332,756663,17642,8192,18082,8598,10537,7236,77520,846253,18156,15453,19692,7341,3155,12546,16768259,334459.645184,7302.2432322,4463.35083392,4882.00138832,2732.09699681,3818.1197234,5035.34079173,7885634.26281,660446,89590,15227,514,3448,7261,9457,1610,6321,-1257,8664,-7382,6986,5310,74188,16690739,0
1663215,43936,126631,275497,80247,147515,88548,721635,997087,6645,68543,16775251,9298,16959,10017,162409,354263,30906,23828,30884,3816,16747351,18055,59913,534405.645519,15452.4205296,42087.3480303,7836350.79337,34809.8177179,7856190.882,35278.2439315,290806.379721,-666128,-642824,-37291,24261,-58088,-44715,16499754,-16744367,-70949,-5482,-130556,16730392,-78531,8038,-559226,-102496,0
126185,3224,6958,10697,9618,6620,2434,118785,209321,7180,16749843,5224,8172,10450,22869,345879,695098,22441,22212,21145,10710,17717,15979,104952,250899.025682,8285.47018715,7889078.73568,6604.65049963,1039.48833567,4602.19268996,8488.73992743,110458.064468,83136,485777,3956,15261,16742885,-16727631,-5473,15921,-1446,2538,3830,7267,20435,-6890,227094,-240927,0
169450,71415,117743,131479,16750282,93349,16758503,315391,324134,22536,11559,27182,4956,16916,21654,74408,1487157,31786,9815,11574,15425,22844,14617,28399,588113.875617,21200.5680794,50471.7044777,53227.6900557,7891355.96894,34718.0703797,7891485.44212,125854.431977,154684,1163023,-48879,9250,-106184,-1744,-104297,-15608,-16745326,10469,-76433,5928,-16736849,-7037,-240983,-46009,0
866257,78386,29258,24264,29038,16613,16744537,375170,157231,12716,11623,12060,1523,5343,4306,28560,1238378,7784,17711,16750170,13499,16488,29988,52254,448462.898617,32182.6660176,7313.53522967,7887545.78666,11264.3011422,5283.51261525,7885374.23738,158104.97244,-709026,1081147,-65670,-4932,-17635,6088,-12204,16738110,-27515,11976,-11270,11145,-16740231,25682,-346610,23694,0
339564,16751164,16759202,26308,24341,16757433,30870,266633,337707,7988,79847,138291,65850,48088,16745517,945189,375717,24148,27536,32621,25103,15168,14136,342755,17496.8186251,7889002.66881,7875082.12862,51366.0016807,19390.4206991,7884631.54487,7883307.36098,303527.324118,-1857,38010,-16743176,16160,-16679355,-52311,111983,-105670,41509,-40747,-16709345,-32920,16714647,-16731381,678556,-602434,0
